source_lemma,target_translation,source,source_id,uri
(polo)zemnice,pit house,amcr,HES-000497,https://api.aiscr.cz/id/HES-000497
**suborál (paleoklimatologie),Subboreal (paleoclimatology),teater,1068,https://teater.aiscr.cz/id/1068
1) teorie a přístupy,1) Theory and approaches,teater,1,https://teater.aiscr.cz/id/1
10) pomocně-historická hesla,10) Auxiliary-historical headings,teater,2557,https://teater.aiscr.cz/id/2557
10–20 km,10–20 km,amcr,HES-000101,https://api.aiscr.cz/id/HES-000101
11) povolání a pracovní činnosti,11) Professions and work activities,teater,3094,https://teater.aiscr.cz/id/3094
12) společnost,12) Society,teater,3549,https://teater.aiscr.cz/id/3549
2) terénní metody,2) Field methods,teater,102,https://teater.aiscr.cz/id/102
20–30 km,20–30 km,amcr,HES-000102,https://api.aiscr.cz/id/HES-000102
3) metody zpracování,3) Processing methods,teater,140,https://teater.aiscr.cz/id/140
30–40 km,30–40 km,amcr,HES-000103,https://api.aiscr.cz/id/HES-000103
3d dokumentace,3D documentation,amcr,HES-001114,https://api.aiscr.cz/id/HES-001114
3d rekonstrukce,3D reconstruction,amcr,HES-001113,https://api.aiscr.cz/id/HES-001113
3d textura,3D texture,amcr,HES-001115,https://api.aiscr.cz/id/HES-001115
3d – 3d printing (*.3mf),3D – 3D Printing (*.3mf),amcr,HES-000158,https://api.aiscr.cz/id/HES-000158
"3d – 3d studio max (*.max, *.3ds)","3D – 3D Studio Max (*.max, *.3ds)",amcr,HES-000164,https://api.aiscr.cz/id/HES-000164
3d – autocad (*.dwg),3D – Autocad (*.dwg),amcr,HES-000152,https://api.aiscr.cz/id/HES-000152
3d – autodesk exchange (*.fbx),3D – Autodesk Exchange (*.fbx),amcr,HES-000153,https://api.aiscr.cz/id/HES-000153
3d – blender (*.blend),3D – Blender (*.blend),amcr,HES-000154,https://api.aiscr.cz/id/HES-000154
3d – collada (*.dae),3D – Collada (*.dae),amcr,HES-000155,https://api.aiscr.cz/id/HES-000155
3d – jiný,3D – other,amcr,HES-000166,https://api.aiscr.cz/id/HES-000166
"3d – leica (*.pts, *.ptx)","3D – Leica (*.pts, *.ptx)",amcr,HES-000156,https://api.aiscr.cz/id/HES-000156
3d – obj (*.obj),3D – OBJ (*.obj),amcr,HES-000157,https://api.aiscr.cz/id/HES-000157
3d – revit (*.rvt),3D – Revit (*.rvt),amcr,HES-000159,https://api.aiscr.cz/id/HES-000159
3d – sketchup (*.skp),3D – Sketchup (*.skp),amcr,HES-000160,https://api.aiscr.cz/id/HES-000160
3d – stanford ply (*.ply),3D – Stanford PLY (*.ply),amcr,HES-000161,https://api.aiscr.cz/id/HES-000161
3d – stereo litography (*.stl),3D – Stereo Litography (*.stl),amcr,HES-000163,https://api.aiscr.cz/id/HES-000163
3d – universal (*.u3d),3D – Universal (*.u3d),amcr,HES-000162,https://api.aiscr.cz/id/HES-000162
3d – vrml (*.wrl),3D – VRML (*.wrl),amcr,HES-000165,https://api.aiscr.cz/id/HES-000165
4) hraniční obory a přidružené obory,4) Cross-border and related disciplines,teater,288,https://teater.aiscr.cz/id/288
40–50 km,40–50 km,amcr,HES-000104,https://api.aiscr.cz/id/HES-000104
5) chronologie,5) Chronology,teater,1050,https://teater.aiscr.cz/id/1050
50–60 km,50–60 km,amcr,HES-000105,https://api.aiscr.cz/id/HES-000105
6 x 6 cm,6 x 6 cm,amcr,HES-000142,https://api.aiscr.cz/id/HES-000142
6 x 9 cm,6 x 9 cm,amcr,HES-000143,https://api.aiscr.cz/id/HES-000143
6) areál aktivity,6) Activity area,teater,1267,https://teater.aiscr.cz/id/1267
60–70 km,60–70 km,amcr,HES-000106,https://api.aiscr.cz/id/HES-000106
7) objekt,7) Feature,teater,1481,https://teater.aiscr.cz/id/1481
70–80 km,70–80 km,amcr,HES-000107,https://api.aiscr.cz/id/HES-000107
8) předmět,8) Object,teater,1788,https://teater.aiscr.cz/id/1788
80–90 km,80–90 km,amcr,HES-000108,https://api.aiscr.cz/id/HES-000108
9 x 12 cm,9 x 12 cm,amcr,HES-000144,https://api.aiscr.cz/id/HES-000144
9) materiálové specifikace,9) Material specifications,teater,2430,https://teater.aiscr.cz/id/2430
90–100 km,90–100 km,amcr,HES-000109,https://api.aiscr.cz/id/HES-000109
<10 km,<10 km,amcr,HES-000100,https://api.aiscr.cz/id/HES-000100
>100 km,>100 km,amcr,HES-000110,https://api.aiscr.cz/id/HES-000110
>a0,>A0,amcr,HES-000151,https://api.aiscr.cz/id/HES-000151
a0 (84 x 119 cm),A0 (84 x 119 cm),amcr,HES-000150,https://api.aiscr.cz/id/HES-000150
a1 (59 x 84 cm),A1 (59 x 84 cm),amcr,HES-000149,https://api.aiscr.cz/id/HES-000149
a2 (42 x 59 cm),A2 (42 x 59 cm),amcr,HES-000148,https://api.aiscr.cz/id/HES-000148
a3 (30 x 42 cm),A3 (30 x 42 cm),amcr,HES-000147,https://api.aiscr.cz/id/HES-000147
a4 (21 x 30 cm),A4 (21 x 30 cm),amcr,HES-000146,https://api.aiscr.cz/id/HES-000146
a5 (15 x 21 cm),A5 (15 x 21 cm),amcr,HES-000145,https://api.aiscr.cz/id/HES-000145
abacus (architektura),abacus (architecture),teater,1790,https://teater.aiscr.cz/id/1790
abacus (nástroj),abacus (tool),teater,2086,https://teater.aiscr.cz/id/2086
abatyše,abbess,teater,3118,https://teater.aiscr.cz/id/3118
abraze,abrasion,teater,52,https://teater.aiscr.cz/id/52
absolutismus,absolutism,teater,3667,https://teater.aiscr.cz/id/3667
absolutní chronologie,absolute chronology,teater,190,https://teater.aiscr.cz/id/190
absolutní datování,absolute dating,amcr,HES-000634,https://api.aiscr.cz/id/HES-000634
absolutní monarchie,absolute monarchy,teater,3678,https://teater.aiscr.cz/id/3678
achaia,Achaea,teater,3980,https://teater.aiscr.cz/id/3980
acheuléen,Acheulian,teater,1078,https://teater.aiscr.cz/id/1078
achájové,Achaeans,teater,2721,https://teater.aiscr.cz/id/2721
adamité,Adamites,teater,696,https://teater.aiscr.cz/id/696
advent,Advent,teater,3853,https://teater.aiscr.cz/id/3853
advent (etnologie),Advent (ethnology),teater,4333,https://teater.aiscr.cz/id/4333
adyton,adyton,teater,1711,https://teater.aiscr.cz/id/1711
afghánistán,Afghanistan,amcr,HES-001179,https://api.aiscr.cz/id/HES-001179
afrika,Africa,teater,3981,https://teater.aiscr.cz/id/3981
agnosticizmus,agnosticism,teater,3825,https://teater.aiscr.cz/id/3825
agnus dei,Lamb of God,teater,3796,https://teater.aiscr.cz/id/3796
agnůstek (přívěsek),Agnus Dei (pendant),teater,3797,https://teater.aiscr.cz/id/3797
agora,agora,teater,1469,https://teater.aiscr.cz/id/1469
aiólové,Aeolians,teater,2722,https://teater.aiscr.cz/id/2722
akanthos,acanthus,teater,1791,https://teater.aiscr.cz/id/1791
akkad,Akkad,teater,3983,https://teater.aiscr.cz/id/3983
akropole,acropolis,teater,1424,https://teater.aiscr.cz/id/1424
akrótérion,acroterion,teater,1792,https://teater.aiscr.cz/id/1792
akta,acta,teater,2182,https://teater.aiscr.cz/id/2182
akulturace,acculturation,teater,4221,https://teater.aiscr.cz/id/4221
akvadukt,aqueduct,teater,1414,https://teater.aiscr.cz/id/1414
akvamanile,aquamanile,amcr,HES-000651,https://api.aiscr.cz/id/HES-000651
akční umění,action art,teater,459,https://teater.aiscr.cz/id/459
alabastron,alabastron,teater,2029,https://teater.aiscr.cz/id/2029
alandy,Åland Islands,amcr,HES-001180,https://api.aiscr.cz/id/HES-001180
album,album,teater,2251,https://teater.aiscr.cz/id/2251
albánie,Albania,amcr,HES-001181,https://api.aiscr.cz/id/HES-001181
alchymie,Alchemy,teater,3840,https://teater.aiscr.cz/id/3840
alemani,Alamanni,teater,2597,https://teater.aiscr.cz/id/2597
alpy,Alps,teater,3984,https://teater.aiscr.cz/id/3984
alsasko,Alsace,teater,2901,https://teater.aiscr.cz/id/2901
alžbětinky,Sisters of Charity of St. Elizabeth,teater,3167,https://teater.aiscr.cz/id/3167
alžírsko,Algeria,amcr,HES-001182,https://api.aiscr.cz/id/HES-001182
amatérska archeologie,amateur archaeology,teater,19,https://teater.aiscr.cz/id/19
ambrotypie,ambrotype,teater,3774,https://teater.aiscr.cz/id/3774
americká samoa,American Samoa,amcr,HES-001183,https://api.aiscr.cz/id/HES-001183
americké panenské ostrovy,Virgin Islands (U.S.),amcr,HES-001184,https://api.aiscr.cz/id/HES-001184
amfiprostylos,amphiprostyle,teater,1305,https://teater.aiscr.cz/id/1305
amfiteátr,amphitheatre,teater,1483,https://teater.aiscr.cz/id/1483
amfora,amphorae,amcr,HES-000652,https://api.aiscr.cz/id/HES-000652
amorfní zlomek/předmět,amorphous fragment/object,amcr,HES-000707,https://api.aiscr.cz/id/HES-000707
amulet,amulet,teater,2375,https://teater.aiscr.cz/id/2375
anabaptisté,Anabaptism,teater,735,https://teater.aiscr.cz/id/735
analogie,analogy,teater,207,https://teater.aiscr.cz/id/207
analytická chemie,analytical chemistry,teater,608,https://teater.aiscr.cz/id/608
analýza,analysis,teater,88,https://teater.aiscr.cz/id/88
analýza hlavních komponent,principal components analysis,teater,276,https://teater.aiscr.cz/id/276
analýza rozptylu,analysis of variance,teater,277,https://teater.aiscr.cz/id/277
analýza stabilních izotopů,stable isotope analysis,amcr,HES-000618,https://api.aiscr.cz/id/HES-000618
analýza uměleckého díla,artwork analysis,teater,3777,https://teater.aiscr.cz/id/3777
"analýzy, posudky (metody spracování)","analyses, reviews (processing methods)",teater,141,https://teater.aiscr.cz/id/141
anathéma,anathema,teater,3813,https://teater.aiscr.cz/id/3813
anatomie člověka,human anatomy,teater,362,https://teater.aiscr.cz/id/362
andalusie,Andalusia,teater,2902,https://teater.aiscr.cz/id/2902
andorra,Andorra,amcr,HES-001185,https://api.aiscr.cz/id/HES-001185
andronovská kultura,Andronovo culture,teater,1150,https://teater.aiscr.cz/id/1150
andrón,andron,teater,1502,https://teater.aiscr.cz/id/1502
anděl,angel,teater,3826,https://teater.aiscr.cz/id/3826
anekdota,anecdote,teater,4279,https://teater.aiscr.cz/id/4279
anexe,annexation,teater,3533,https://teater.aiscr.cz/id/3533
anglie,England,teater,2903,https://teater.aiscr.cz/id/2903
angličtina,English,amcr,HES-000169,https://api.aiscr.cz/id/HES-000169
anglosaská mytologie,Anglo-Saxon mythology,teater,2624,https://teater.aiscr.cz/id/2624
anglosasové,Anglo-Saxons,teater,2598,https://teater.aiscr.cz/id/2598
angola,Angola,amcr,HES-001186,https://api.aiscr.cz/id/HES-001186
anguilla,Anguilla,amcr,HES-001187,https://api.aiscr.cz/id/HES-001187
animismus,animism,teater,685,https://teater.aiscr.cz/id/685
anjouovci,Angevin,teater,3077,https://teater.aiscr.cz/id/3077
anonym,anonymous,amcr,HES-000865,https://api.aiscr.cz/id/HES-000865
ant,anta,teater,1793,https://teater.aiscr.cz/id/1793
antarktida,Antarctica,amcr,HES-001188,https://api.aiscr.cz/id/HES-001188
antefix,antefix,teater,1794,https://teater.aiscr.cz/id/1794
antická architektura,classical architecture,teater,429,https://teater.aiscr.cz/id/429
antické malířství,ancient painting,teater,3754,https://teater.aiscr.cz/id/3754
antické město,ancient city,teater,1395,https://teater.aiscr.cz/id/1395
antické sochařství,ancient sculpture,teater,446,https://teater.aiscr.cz/id/446
antické umění,classical art,teater,503,https://teater.aiscr.cz/id/503
antický chrám,ancient temple,teater,1304,https://teater.aiscr.cz/id/1304
antifonář,antiphonary,teater,2216,https://teater.aiscr.cz/id/2216
antigua a barbuda,Antigua and Barbuda,amcr,HES-001189,https://api.aiscr.cz/id/HES-001189
antika,classical antiquity,teater,1259,https://teater.aiscr.cz/id/1259
antitrinitarismus,antitrinitarism,teater,697,https://teater.aiscr.cz/id/697
antoniův val,Antonine Wall,teater,2793,https://teater.aiscr.cz/id/2793
antrakologická analýza,anthracological analysis,teater,142,https://teater.aiscr.cz/id/142
antrakologie/xylotomie,anthracology/xylotomy,amcr,HES-000604,https://api.aiscr.cz/id/HES-000604
antropogeneze,anthropogenesis,teater,363,https://teater.aiscr.cz/id/363
antropogenní geomorfologie,anthropogenic geomorphology,teater,952,https://teater.aiscr.cz/id/952
antropologický výzkum,anthropological research,teater,143,https://teater.aiscr.cz/id/143
antropologie,anthropology,teater,353,https://teater.aiscr.cz/id/353
antropologie krajiny,landscape anthropology,teater,393,https://teater.aiscr.cz/id/393
antropologie náboženství,anthropology of religion,teater,3888,https://teater.aiscr.cz/id/3888
antropologie sexuality,anthropology of sexuality,teater,3889,https://teater.aiscr.cz/id/3889
antropologie smrti,anthropology of death,teater,3890,https://teater.aiscr.cz/id/3890
antropometrie,anthropometry,teater,356,https://teater.aiscr.cz/id/356
antropomorfní nádoba,anthropomorphic vessel,teater,2080,https://teater.aiscr.cz/id/2080
antropomorfní plastika,anthropomorphic sculpture,teater,1818,https://teater.aiscr.cz/id/1818
aplikovaná geografie,applied geography,teater,875,https://teater.aiscr.cz/id/875
aplikovaná statistika,applied statistics,teater,839,https://teater.aiscr.cz/id/839
aplikovaný výzkum,applied research,teater,4326,https://teater.aiscr.cz/id/4326
apoikia,apoikia,teater,1442,https://teater.aiscr.cz/id/1442
apokalypsa,apocalypse,teater,3799,https://teater.aiscr.cz/id/3799
apokryf,apocryphus,teater,2183,https://teater.aiscr.cz/id/2183
apologetika,apologetics,teater,3800,https://teater.aiscr.cz/id/3800
apologie,apologetic,teater,2187,https://teater.aiscr.cz/id/2187
apotropaion,apotropaic magic,teater,2376,https://teater.aiscr.cz/id/2376
apotropsion,apotropaic magic,teater,3824,https://teater.aiscr.cz/id/3824
apoštol,Apostle,teater,3801,https://teater.aiscr.cz/id/3801
apsida,apse,teater,1712,https://teater.aiscr.cz/id/1712
apulie,Apulia,teater,3985,https://teater.aiscr.cz/id/3985
aquitaine,Aquitaine,teater,2906,https://teater.aiscr.cz/id/2906
arabské písmo,Arabic script,teater,3568,https://teater.aiscr.cz/id/3568
arabský poloostrov,Arabian Peninsula,teater,3986,https://teater.aiscr.cz/id/3986
aragonie,Aragon,teater,2904,https://teater.aiscr.cz/id/2904
aramejské písmo,Aramaic script,teater,3569,https://teater.aiscr.cz/id/3569
arca,arca,teater,2311,https://teater.aiscr.cz/id/2311
archa,ark,teater,3798,https://teater.aiscr.cz/id/3798
archanděl,archangel,teater,3827,https://teater.aiscr.cz/id/3827
archeoastronomie,archaeoastronomy,teater,290,https://teater.aiscr.cz/id/290
archeobiologie,archaeobiology,teater,291,https://teater.aiscr.cz/id/291
archeobotanika,archaeobotany,teater,292,https://teater.aiscr.cz/id/292
archeoentomologie,archeoentomology,amcr,HES-000624,https://api.aiscr.cz/id/HES-000624
archeogenetická analýza,archaeogenetic analysis,teater,144,https://teater.aiscr.cz/id/144
archeogenetika,archaeogenetics,amcr,HES-000606,https://api.aiscr.cz/id/HES-000606
archeografie,archaeography,teater,625,https://teater.aiscr.cz/id/625
archeolog,archaeologist,amcr,HES-000867,https://api.aiscr.cz/id/HES-000867
archeologická antropologie,archaeological anthropology,teater,3891,https://teater.aiscr.cz/id/3891
archeologická data,archaeological data,teater,53,https://teater.aiscr.cz/id/53
archeologická klasifikace,archaeological classification,teater,205,https://teater.aiscr.cz/id/205
archeologická kultura,archaeological culture,teater,54,https://teater.aiscr.cz/id/54
archeologická lokalita,archaeological site,teater,55,https://teater.aiscr.cz/id/55
archeologická mapa,archaeological map,teater,198,https://teater.aiscr.cz/id/198
archeologická památka,archaeological monument,teater,259,https://teater.aiscr.cz/id/259
archeologická periodizace,archaeological periodization,teater,1071,https://teater.aiscr.cz/id/1071
archeologická sbírka,archaeological collection,teater,223,https://teater.aiscr.cz/id/223
archeologická transformace,archaeological transformation,teater,62,https://teater.aiscr.cz/id/62
archeologické datování,archaeological dating,teater,189,https://teater.aiscr.cz/id/189
archeologické dědicství,archaeological heritage,teater,256,https://teater.aiscr.cz/id/256
archeologické muzeum,archaeological museum,teater,243,https://teater.aiscr.cz/id/243
archeologické výzkumy,archaeological research,teater,103,https://teater.aiscr.cz/id/103
archeologický kontext,archaeological context,teater,68,https://teater.aiscr.cz/id/68
archeologický nález,archaeological find,teater,56,https://teater.aiscr.cz/id/56
archeologický pramen,archaeological source,teater,57,https://teater.aiscr.cz/id/57
archeologie,archaeology,teater,2,https://teater.aiscr.cz/id/2
archeologie skalních převisů,rockshelter archaeology,teater,21,https://teater.aiscr.cz/id/21
archeologie starověku,ancient archeology,teater,42,https://teater.aiscr.cz/id/42
archeologie středověku,medieval archaeology,teater,43,https://teater.aiscr.cz/id/43
archeoložka,women archaeologist,teater,5,https://teater.aiscr.cz/id/5
archeomalakologie,archeomalacology,amcr,HES-000621,https://api.aiscr.cz/id/HES-000621
archeometalurgie,archaeometallurgy,teater,312,https://teater.aiscr.cz/id/312
archeometrie,archaeometry,teater,22,https://teater.aiscr.cz/id/22
archeoparazitologie,archeoparasitology,amcr,HES-000626,https://api.aiscr.cz/id/HES-000626
archeoskanzen,archaeological open-air museum,teater,254,https://teater.aiscr.cz/id/254
archeozoologie,archaeozoology,amcr,HES-000607,https://api.aiscr.cz/id/HES-000607
archerotypie,collodion process,teater,3772,https://teater.aiscr.cz/id/3772
architekt,architect,teater,3786,https://teater.aiscr.cz/id/3786
architektka,architect (female),teater,3787,https://teater.aiscr.cz/id/3787
architektonický článek,architectural element,amcr,HES-000709,https://api.aiscr.cz/id/HES-000709
architektura,architecture,teater,460,https://teater.aiscr.cz/id/460
architektura 19. století,19th-century architecture,teater,3753,https://teater.aiscr.cz/id/3753
architráv,architrave,teater,1795,https://teater.aiscr.cz/id/1795
archiv arú,IAP archive,amcr,HES-001168,https://api.aiscr.cz/id/HES-001168
archiv arúb,IAB archive,amcr,HES-001167,https://api.aiscr.cz/id/HES-001167
archiv autora,author's archive,amcr,HES-001170,https://api.aiscr.cz/id/HES-001170
archiv jiné organizace,other institutional archive,amcr,HES-001169,https://api.aiscr.cz/id/HES-001169
archivnictví,keeping archives,teater,626,https://teater.aiscr.cz/id/626
archivní budova,archive,teater,1489,https://teater.aiscr.cz/id/1489
archivní výzkum,archival research,teater,628,https://teater.aiscr.cz/id/628
archiválie,records,teater,627,https://teater.aiscr.cz/id/627
archivář,archivist,amcr,HES-000868,https://api.aiscr.cz/id/HES-000868
arcibiskup,archbishop,teater,3096,https://teater.aiscr.cz/id/3096
arcibiskupská rezidence,archbishops palace,teater,1541,https://teater.aiscr.cz/id/1541
arcibiskupský úřad,archbishops' office,teater,777,https://teater.aiscr.cz/id/777
arcidiecéze,archdiocese,teater,776,https://teater.aiscr.cz/id/776
areál jiné aktivity,other site,amcr,HES-000056,https://api.aiscr.cz/id/HES-000056
areál komunity,community area,teater,4138,https://teater.aiscr.cz/id/4138
areál nezemědělské výroby,production site,amcr,HES-000078,https://api.aiscr.cz/id/HES-000078
areál těžby,extracting site,amcr,HES-000032,https://api.aiscr.cz/id/HES-000032
areál vojenských aktivit,military site,amcr,HES-000041,https://api.aiscr.cz/id/HES-000041
areál zemědělské výroby,agricultural production site,amcr,HES-000036,https://api.aiscr.cz/id/HES-000036
argentina,Argentina,amcr,HES-001190,https://api.aiscr.cz/id/HES-001190
argolis,Argolis,teater,3987,https://teater.aiscr.cz/id/3987
arianismus,Arianism,teater,698,https://teater.aiscr.cz/id/698
aristokracie,aristocracy,teater,3650,https://teater.aiscr.cz/id/3650
arkádie (řecko),Arcadia,teater,3988,https://teater.aiscr.cz/id/3988
armagnac,Armagnac,teater,2905,https://teater.aiscr.cz/id/2905
armamentarium,armamentaria,teater,1490,https://teater.aiscr.cz/id/1490
armáda,army,teater,3516,https://teater.aiscr.cz/id/3516
arménie,Armenia,amcr,HES-001191,https://api.aiscr.cz/id/HES-001191
arménské písmo,Armenian script,teater,3570,https://teater.aiscr.cz/id/3570
arpádovci,Árpád dynasty,teater,3078,https://teater.aiscr.cz/id/3078
artefakt,artefact,teater,58,https://teater.aiscr.cz/id/58
artemísion,Artemisium,teater,1306,https://teater.aiscr.cz/id/1306
aruba,Aruba,amcr,HES-001192,https://api.aiscr.cz/id/HES-001192
aryballos,aryballos,teater,2031,https://teater.aiscr.cz/id/2031
as,as,teater,2277,https://teater.aiscr.cz/id/2277
asep (databáze),ASEP (database),teater,75,https://teater.aiscr.cz/id/75
asie,Asia,teater,3990,https://teater.aiscr.cz/id/3990
asie (římská provincie),Asia (Roman province),teater,3991,https://teater.aiscr.cz/id/3991
asimilace (sociologie),assimilation,teater,417,https://teater.aiscr.cz/id/417
askeze,asceticism,teater,3854,https://teater.aiscr.cz/id/3854
asklépieion,Asclepeion,teater,1307,https://teater.aiscr.cz/id/1307
askos,askos,teater,2032,https://teater.aiscr.cz/id/2032
astralon,astralon (transparent foil),amcr,HES-000218,https://api.aiscr.cz/id/HES-000218
astrologie,astrology,teater,3841,https://teater.aiscr.cz/id/3841
astrální božstvo,solar deity,teater,3831,https://teater.aiscr.cz/id/3831
asturie,Asturias,teater,2907,https://teater.aiscr.cz/id/2907
asýrie,Assyria,teater,3992,https://teater.aiscr.cz/id/3992
atika,Attica,teater,3993,https://teater.aiscr.cz/id/3993
atlantik (paleoklimatologie),Atlantic (paleoclimatology),teater,1066,https://teater.aiscr.cz/id/1066
atlas (pohoří),Atlas Mountains,teater,3994,https://teater.aiscr.cz/id/3994
atomová absorbční spektrometrie,atomic absorption spectroscopy,teater,178,https://teater.aiscr.cz/id/178
atomová emisní spektrometrie,atomic emission spectroscopy,teater,179,https://teater.aiscr.cz/id/179
atribut,Attribute,teater,3828,https://teater.aiscr.cz/id/3828
atribut světce,attribute of saint,teater,753,https://teater.aiscr.cz/id/753
atrium,atrium,teater,1503,https://teater.aiscr.cz/id/1503
attičtina,Attic Greek,teater,3964,https://teater.aiscr.cz/id/3964
atypický předmět,exceptional object,amcr,HES-000708,https://api.aiscr.cz/id/HES-000708
augsburská konfese,Augsburg Confession,teater,736,https://teater.aiscr.cz/id/736
augustiniáni,Augustinians,teater,3138,https://teater.aiscr.cz/id/3138
augustiniáni kanovníci,Augustinian Canons,teater,3139,https://teater.aiscr.cz/id/3139
augustiniánky,Augustinian nuns,teater,3168,https://teater.aiscr.cz/id/3168
augustiniánská spiritualita,Augustinian spirituality,teater,806,https://teater.aiscr.cz/id/806
augustiniánský klášter,Augustinian monastery,teater,1360,https://teater.aiscr.cz/id/1360
aula,aule,teater,1504,https://teater.aiscr.cz/id/1504
aulos,aulos,teater,1827,https://teater.aiscr.cz/id/1827
aureus,aureus,teater,2278,https://teater.aiscr.cz/id/2278
aurignacien,Aurignacian,amcr,HES-000262,https://api.aiscr.cz/id/HES-000262
australopithecus,australopithecus,teater,365,https://teater.aiscr.cz/id/365
austrálie,Australia,amcr,HES-001193,https://api.aiscr.cz/id/HES-001193
autograf,autograph,teater,629,https://teater.aiscr.cz/id/629
auvergne,Auvergne,teater,2908,https://teater.aiscr.cz/id/2908
avarsko-slovanská kultura,Avar-Slavic culture,teater,2562,https://teater.aiscr.cz/id/2562
avarský kaganát,Avar Khaganate,teater,2909,https://teater.aiscr.cz/id/2909
avarština,Avaric language,teater,2563,https://teater.aiscr.cz/id/2563
avaři,Avars,teater,2561,https://teater.aiscr.cz/id/2561
avignonské zajetí (1309-1378),Avignon Papacy,teater,785,https://teater.aiscr.cz/id/785
azbuka (písmo),Russian alphabet,teater,3571,https://teater.aiscr.cz/id/3571
azovské moře (ukrajina a rusko),Sea of Azov,teater,3995,https://teater.aiscr.cz/id/3995
aígina,Aegina,teater,3982,https://teater.aiscr.cz/id/3982
babylónie,Babylonia,teater,3996,https://teater.aiscr.cz/id/3996
badatel,researcher,amcr,HES-000866,https://api.aiscr.cz/id/HES-000866
badatelský,research,amcr,HES-001137,https://api.aiscr.cz/id/HES-001137
badatelský záměr,research project,amcr,HES-000595,https://api.aiscr.cz/id/HES-000595
badenská kultura,Baden Culture,amcr,HES-000317,https://api.aiscr.cz/id/HES-000317
bahamy,Bahamas (the),amcr,HES-001195,https://api.aiscr.cz/id/HES-001195
bahrajn,Bahrain,amcr,HES-001196,https://api.aiscr.cz/id/HES-001196
bajka,fable,teater,4280,https://teater.aiscr.cz/id/4280
bakchantky,Maenad,teater,3868,https://teater.aiscr.cz/id/3868
bakchanálie,Bacchanalia,teater,3855,https://teater.aiscr.cz/id/3855
baktrie,Bactria,teater,3997,https://teater.aiscr.cz/id/3997
balista,ballista,teater,1977,https://teater.aiscr.cz/id/1977
baltistika,Baltic studies,teater,2565,https://teater.aiscr.cz/id/2565
baltové,Balts,teater,2564,https://teater.aiscr.cz/id/2564
baltská filologie,Baltic philology,teater,2566,https://teater.aiscr.cz/id/2566
baltská literatura,Baltic literature,teater,2573,https://teater.aiscr.cz/id/2573
baltská mytologie,Baltic mythology,teater,2567,https://teater.aiscr.cz/id/2567
baltské jazyky,Baltic languages,teater,2569,https://teater.aiscr.cz/id/2569
baltské náboženství,Baltic religion,teater,2568,https://teater.aiscr.cz/id/2568
baltské země,Baltic countries,teater,2910,https://teater.aiscr.cz/id/2910
bangladéš,Bangladesh,amcr,HES-001197,https://api.aiscr.cz/id/HES-001197
bankovka,paper money,amcr,HES-000650,https://api.aiscr.cz/id/HES-000650
bar micva,Bar Mitzvah,teater,3886,https://teater.aiscr.cz/id/3886
barbados,Barbados,amcr,HES-001402,https://api.aiscr.cz/id/HES-001402
barbarikum,Barbaricum,teater,3998,https://teater.aiscr.cz/id/3998
barbaři,Barbarian,teater,3910,https://teater.aiscr.cz/id/3910
barbiton,barbiton,teater,1828,https://teater.aiscr.cz/id/1828
barbizonská škola,Barbizon school,teater,3780,https://teater.aiscr.cz/id/3780
barokní architektura,baroque architecture,teater,432,https://teater.aiscr.cz/id/432
barokní malířství,baroque painting,teater,439,https://teater.aiscr.cz/id/439
barokní nástěnná malba,baroque mural painting,teater,1866,https://teater.aiscr.cz/id/1866
barokní oltář,baroque altar,teater,1724,https://teater.aiscr.cz/id/1724
barokní portál,baroque doorway,teater,1597,https://teater.aiscr.cz/id/1597
barokní sochařství,baroque sculpture,teater,449,https://teater.aiscr.cz/id/449
barokní umění,baroque,teater,504,https://teater.aiscr.cz/id/504
barter,barter,teater,3562,https://teater.aiscr.cz/id/3562
barvivo,colourant,amcr,HES-000903,https://api.aiscr.cz/id/HES-000903
baskická literatura,Basque literature,teater,2578,https://teater.aiscr.cz/id/2578
baskická poezie,Basque poetry,teater,2579,https://teater.aiscr.cz/id/2579
baskická povídka,Basque short story,teater,2581,https://teater.aiscr.cz/id/2581
baskická próza,Basque prose literature,teater,2580,https://teater.aiscr.cz/id/2580
baskické drama,Basque drama,teater,2583,https://teater.aiscr.cz/id/2583
baskický román,Basque fiction,teater,2582,https://teater.aiscr.cz/id/2582
baskičtina,Basque,teater,2585,https://teater.aiscr.cz/id/2585
baskičtí spisovatelé,Basque authors,teater,2584,https://teater.aiscr.cz/id/2584
baskové,Basques,teater,2577,https://teater.aiscr.cz/id/2577
bastion,bastion,teater,1620,https://teater.aiscr.cz/id/1620
bastion/reduta,bastion/redoubt,amcr,HES-000468,https://api.aiscr.cz/id/HES-000468
batavové,Batavi,teater,3917,https://teater.aiscr.cz/id/3917
bavlna,cotton,teater,2434,https://teater.aiscr.cz/id/2434
bavorsko,Bavaria,teater,2911,https://teater.aiscr.cz/id/2911
bayreuth (německo : knížectví),Bayreuth (Germany : Fürstentum),teater,2912,https://teater.aiscr.cz/id/2912
bazilika,basilica,teater,1334,https://teater.aiscr.cz/id/1334
bazilika (antika),basilica (antiquity),teater,1491,https://teater.aiscr.cz/id/1491
baziliánský klášter,Basilian monastery,teater,1384,https://teater.aiscr.cz/id/1384
bašta,wall tower,amcr,HES-000528,https://api.aiscr.cz/id/HES-000528
bednář,cooper,teater,3240,https://teater.aiscr.cz/id/3240
