source_lemma,target_translation,source,source_id,uri
objekt (antropologie),object (anthropology),teater,360,https://teater.aiscr.cz/id/360
objekt (archeobotanika),object (archaeobotany),teater,297,https://teater.aiscr.cz/id/297
objekt (demografie),object (demography),teater,403,https://teater.aiscr.cz/id/403
objekt (dějiny umění),object (art history),teater,457,https://teater.aiscr.cz/id/457
objekt (geografie),object (geography),teater,869,https://teater.aiscr.cz/id/869
objekt (hydrologie),object (hydrology),teater,1013,https://teater.aiscr.cz/id/1013
objekt (mineralogie),object (mineralogy),teater,971,https://teater.aiscr.cz/id/971
objekt (paleontologie),object (palaeontology),teater,319,https://teater.aiscr.cz/id/319
objekt (pedologie),object (pedology),teater,984,https://teater.aiscr.cz/id/984
objekt (petrologie),object (petrography),teater,991,https://teater.aiscr.cz/id/991
objekt (religionistika),object (religious science),teater,681,https://teater.aiscr.cz/id/681
objekt (sedimentologie),object (sedimentology),teater,1000,https://teater.aiscr.cz/id/1000
objekt na veřejném prostranství,feature on public area,teater,1608,https://teater.aiscr.cz/id/1608
objekt zemědělské výroby,agricultural feature,teater,1613,https://teater.aiscr.cz/id/1613
objekt/stopa výroby,production feature/trace,amcr,HES-000578,https://api.aiscr.cz/id/HES-000578
objekt/subobor (historiografie),object/subfield (historiography),teater,587,https://teater.aiscr.cz/id/587
objekty (památková péče),objects (historic preservation),teater,255,https://teater.aiscr.cz/id/255
oblačno,cloudy,amcr,HES-000588,https://api.aiscr.cz/id/HES-000588
"oblačno, zataženo","cloudy, overcast",amcr,HES-000589,https://api.aiscr.cz/id/HES-000589
obléhací beran,battering ram,teater,1980,https://teater.aiscr.cz/id/1980
obléhací podloubí,siegecraft,teater,1981,https://teater.aiscr.cz/id/1981
obléhací stroj,siege engine,teater,1976,https://teater.aiscr.cz/id/1976
obléhací věž,siege tower,teater,1983,https://teater.aiscr.cz/id/1983
obléhací šípomet,scorpion,teater,1982,https://teater.aiscr.cz/id/1982
obléhání,siege,teater,3537,https://teater.aiscr.cz/id/3537
obnova a rekonstrukce památek,renewal and reconstruction of monuments,teater,271,https://teater.aiscr.cz/id/271
obolos,Obolos,teater,2289,https://teater.aiscr.cz/id/2289
obora,game park,amcr,HES-000037,https://api.aiscr.cz/id/HES-000037
obora (myslivost),game park,teater,1294,https://teater.aiscr.cz/id/1294
oborová terminologie,terminology (professional),teater,86,https://teater.aiscr.cz/id/86
